summary,date,chat_GPT_location,lat,lng,article_id,cd_district_name,hunger_bert,refugees_bert,humanitarian_bert,conflict_bert,Conflict,County level,Unity level,South Sudan / Liberation movement Conflict,Additional Notes,location_final
"The article discusses the ruling party SPLM's caucus meeting in Bentiu, Unity state, South Sudan aimed at reuniting its members across the state's nine counties. The party has lost some support due to the government's failure to deliver basic services. Caretaker governor of Unity state, Joseph Nguen Monytuel, urged SPLM members to unite and reach out to rural areas to persuade people to trust the party's objectives. The meeting also discussed fundraising as a priority, while some members accused officials of financial impropriety. Journalists from UN-run Miraya FM and Naath FM were banned from attending the meeting.",2013-10-04,Bentiu,9.231487,29.8005027,7589,Rubkona,True,True,True,True,1,yes,no,no,supporting rebels that fight each other,Rubkona
"The article discusses the commitment of South Sudan's Unity state government to reform its employment policy for civil servants working in Bentiu. The government has formed several committees to investigate the dismissal of thousands of government employees in 2010, and officials are calling for previous mistakes to be corrected in line with civil services law. The public service minister states that employment policy for civil servants was unfair and not based on the law. International NGOs, companies, and public institutions are also failing to abide by existing labor laws. The ministry proposes forming a directorate for pension and social insurances to deal with employment issues and punish institutions failing to abide by laws. Former governor Taban Deng Gai ordered the dismissal of thousands of government employees due to the discovery of ghost names and over-employment in state-paid roles.",2013-10-13,Bentiu,9.231487,29.8005027,7646,Rubkona,True,True,True,True,1,yes,no,no,Reformation of employment policies,Rubkona
"The article discusses the killing of four Sudanese traders along the border with Sudan in the disputed Abyei region, only about 5kms out of South Sudan territory. The traders had for years traded with their South Sudan counterparts in Rubkotna County, Unity State. The traders union in Rubkotna condemned the murder, fearing it could affect cross border trade, while the Commissioner promised safety for foreigners in the state.",2013-11-12,Rubkotna County,9.3297456,29.6962677,7946,Rubkona,True,True,True,True,2,yes,no,no,Deaths in conflict with Sudan,Rubkona
"The article discusses an attack on South Sudanese security forces in Rubkotna County, Unity state. The attack resulted in five deaths and seven injuries. The security forces were stationed in the county to maintain order after deadly clashes broke out two weeks ago between the Jikany and Leek communities. The article reports that Leek youths are suspected of mounting the attack on the security forces.",2013-11-29,Rubkotna County,9.3297456,29.6962677,8091,Rubkona,False,False,False,True,2,yes,no,yes,Attack on South Sudanis,Rubkona
"The article discusses the election of a new chairman, Simon William Gai Chang, for the United Democratic Salvation Front Mainstream in a meeting of party members in Bentiu, Unity state. Chang aims to unite the UDSF Mainstream in Unity state, activate activities of youth and women leagues, and work with other South Sudanese parties to bring change and democratic transition to the nation. The UDSF's vision is to unite the people and make peace in the Republic of South Sudan. The UDSF Mainstream was formed after the Khartoum peace agreement in 1997 and is cooperating with the ruling Sudan People Liberation Movement (SPLM) to address the problems facing the nation. The article reports no comment from Chang regarding whether his party had faced any intimidation from the ruling SPLM.",2013-12-04,Bentiu,9.231487,29.8005027,8111,Rubkona,True,True,True,True,1,yes,no,yes,Politic election,Rubkona
"The article discusses the South Sudan peace and Reconciliation commission conducting a peace building and conflict mitigation training for civil society organisations in Bentiu, Unity state. The training was conducted due to recent deadly conflicts over land disputes between Rubkotna and Guit residents. The civil society groups will use the acquired skills to resolve conflicts and extend peace awareness messages in the communities. Peace committees will also be established in each of the nine counties in the state. Poor roads was a hindrance to their peace building work as some of the areas are inaccessible.",2013-12-08,Bentiu,9.231487,29.8005027,8120,Rubkona,True,True,True,True,1,yes,no,no,Peace building policies,Rubkona
"The article discusses gunfights and reported defections of Dinka soldiers in and around Rubkona and Bentiu, both located within Unity State of South Sudan. The situation is said to be under control with the 4th Division maintaining discipline, but some Dinka soldiers have sought refuge at the UN compound and there are reports of Dinka and Nuer soldiers forming separate camps. The state capital is reportedly under the control of the 4th Division, but the degree of their loyalty to the South Sudanese president is unclear. Some food shortages are expected until the reopening of the market on Saturday.",2013-12-20,Rubkona,9.2801507,29.7802409,8305,Rubkona,False,True,True,True,2,yes,no,no,Conflicts and fights,Rubkona
"The article discusses clashes between SPLA forces of rival Nuer and Dinka tribes in Bentiu, Unity state, South Sudan. The commander of SPLA's fourth division, James Koang Chuol, has denied claims that Bentiu had fallen into rebel hands and confirmed that order had been restored. The clashes were sparked by fighting between oil workers from rival clans at the Unity and Tharjath oil fields, resulting in 16 deaths and about 200 people taking refuge in UN compound, while four people were killed in the clashes in Bentiu.",2013-12-20,Bentiu,9.231487,29.8005027,8326,Rubkona,False,True,True,True,2,yes,no,yes,Clashes between Lib and South Sudan,Rubkona
"The article discusses how South Sudan's ongoing crisis could affect the country's oil fields, including the possibility of oil facilities in Bentiu being targeted by the conflicting parties. Sudan's foreign minister urges the conflicting parties not to target national wealth represented by oil wells. There are ongoing clashes in the country with reports of atrocities against civilians. The article also mentions the mediation initiative made by Intergovernmental Authority on Development countries and the accusations and denials by the South Sudan president and former deputy respectively of an attempted coup to overthrow the government.",2013-12-23,Unity state capital of Bentiu,9.231487,29.8005027,8376,Rubkona,False,False,False,True,1,yes,no,no,Overthrowing the gov,Rubkona
"The article discusses the ongoing conflict and tensions in various locations across South Sudan, including Bentiu, Unity State, Nasir, Upper Nile State, and Juba. Médecins Sans Frontières (MSF) emergency teams are providing medical care and relief to those affected, treating the injured, donating drugs and medical supplies to health facilities, and providing assistance to those displaced by the violence.",2013-12-23,Bentiu,9.231487,29.8005027,8402,Rubkona,True,True,True,True,1,yes,no,no,Tensions,Rubkona
"The article discusses how forces loyal to former Vice President Riek Machar have taken control of Bentiu, the capital of Unity State, South Sudan's oil-producing region, leading to more than 60,000 people fleeing their homes. The UN has evacuated non-critical staff in the capital Juba to Uganda, as South Sudan is highly dependent on oil revenues, earning $1.3 billion in just five months this year. The fighting has increased ethnic tensions in the country, with reports suggesting that a dispute between Dinka and Nuer members of the presidential guard triggered fighting.",2013-12-22,Bentiu,9.231487,29.8005027,8424,Rubkona,True,True,True,True,1,yes,no,no,Invasion of Oil territories,Rubkona
"The article discusses the violence and escalating conflict in South Sudan, specifically targeted killings and arbitrary detentions. Mass graves have been discovered in Bentiu, Unity state and there are reportedly two others in Juba. The UN human rights chief urges the South Sudanese leadership to curb the violence and make it clear that abuses will be held accountable. The conflict is sparked by an alleged coup attempt by loyalists of former vice president Riek Machar against the Government of President Salva Kiir. Over 80,000 people have been displaced, with 45,000 taking refuge in the compounds of the UN Mission in South Sudan (UNMISS). The Security Council plans to strengthen UNMISS with additional troops and police, as well as attack and utility helicopters.",2013-12-24,"Bentiu, Unity state",9.231487,29.8005027,8455,Rubkona,True,True,True,True,1,yes,no,no,President talks,Rubkona
"The article discusses the discovery of dozens of corpses in mass graves in South Sudan, believed to be victims of ethnic violence between the Dinka and Nuer ethnic groups, as the country teeters on the brink of civil war. The UN has reported that bodies have been found in Bentiu in Unity State, as well as reported mass graves in the capital, Juba. The UN has called on leaders to renounce violence, as reports indicate that civilians are being targeted on the basis of their ethnicity. The Security Council is set to vote on a resolution to deploy additional peacekeepers, as over 80,000 people have been displaced by the conflict.",2013-12-24,Bentiu,9.231487,29.8005027,8501,Rubkona,True,True,True,True,1,yes,no,yes,Clashes between Lib and South Sudanis,Rubkona
"The article discusses ongoing violence and military action in various cities and states of South Sudan, including the recapture of Bentiu from forces loyal to former Vice President Riek Machar, heavy fighting to recapture Malakal, the retaking of Bor by government troops, and continued unrest in cities and U.N. bases. The violence, which started as an alleged attempted coup by Machar against President Salva Kiir, has taken on tribal overtones and resulted in displacement of tens of thousands and hundreds, if not thousands, of deaths.",2013-12-25,Bentiu,9.231487,29.8005027,8514,Rubkona,True,True,True,True,1,yes,no,no,Many deaths after military intervention,Rubkona
"The article discusses the United Nations sending 5,500 peacekeepers to South Sudan after thousands of people are reported to have been killed since fighting began. The UN Security Council has approved the measure to boost the overall force to nearly 14,000 peacekeepers. A mass grave was discovered in the capital of Unity State, and both the President and former Vice President have been urged to hold mediated political talks to resolve their differences.",2013-12-25,Bentiu,9.231487,29.8005027,8562,Rubkona,True,True,True,True,2,yes,no,no,"Many deaths, UN peacemakers coming",Rubkona
"The article discusses the denial by rebel forces in Unity state, South Sudan, of a United Nations report which alleged that 75 Dinka soldiers were buried in a mass grave in the capital city of Bentiu. The rebels dismissed the report, stating that there was 'no mass grave here' and called for a proper investigation to be conducted. The article also discusses the ongoing violence and displacement in South Sudan, including the rebellion by the SPLA forces and allegations of extra-judicial killings.",2013-12-31,Bentiu,9.231487,29.8005027,8666,Rubkona,True,True,True,True,1,yes,no,yes,Burrial in mass grave,Rubkona
"The article discusses the ongoing fighting between SPLA forces and the defected army division in several villages north of Bentiu and in Mayom County, South Sudan. The traders in Unity State are caught between the war in Kordofan and in Unity State. The UN peacekeeping mission observed that most villages along the road from Mayom Junction to Pariang appeared burnt or looted. Severe shortages of food, water, and shelter have been reported. The UN refugee agency UNHCR announced that it will return its personnel to Yida in Unity State if it is provided with UN peacekeepers. The South Sudan Government has declared a State of Emergency in Unity and Jonglei states.",2014-01-07,Bentiu,9.231487,29.8005027,8828,Rubkona,False,True,True,True,1,yes,no,no,UN peacemakers in action,Rubkona
"The article discusses the recapture of Bentiu in Unity state by South Sudan government troops after a battle with rebel forces. The town and other areas in South Sudan have faced devastation during the month-long conflict that began after renegade soldiers attacked an army headquarters in Juba. South Sudanese government troops plan to recapture the capital of Jonglei state next. Foreign companies pulled their workers out of oil-producing Unity state due to the deteriorating security situation. Additionally, negotiations for peace talks have struggled to make progress. More than 60,000 people are currently sheltering on U.N. bases throughout the country and over 250,000 have been displaced by the fighting. A top U.N. official estimates the death toll to be substantially higher than the confirmed 1,000 deaths.",2014-01-10,Bentiu,9.231487,29.8005027,8869,Rubkona,False,False,False,True,1,yes,no,yes,Mentions rebel groups ,Rubkona
"The article discusses the ongoing conflict in South Sudan between the government soldiers and rebels. Thousands of civilians have fled Bentiu, which has been held for several weeks by rebels, as army troops loyal to President Salva Kiir advanced towards the town. The peace talks between the sides in Ethiopia remained at an impasse with the government refusing to release 11 political detainees. The U.S. is strongly urging a peaceful resolution to the conflict and the United Nations is releasing $15 million to support relief efforts in South Sudan. The recent violence in the country has an ethnic component, with targeted attacks between supporters of Kiir, from the Dinka tribe, and Machar, who is from the Nuer community.",2014-01-09,Bentiu,9.231487,29.8005027,8886,Rubkona,True,True,True,True,1,yes,no,yes,Mentions rebel groups + people fleeing,Rubkona
"The article discusses the recapture of Bentiu by South Sudanese government forces, the looting of the city by rebels, and the call by UN Secretary-General Ban Ki-moon for President Salva Kiir to release political prisoners. The conflict in South Sudan has resulted in over 1,000 deaths and displacement of thousands. The Obama administration may be considering targeted sanctions against South Sudan. The fighting has taken on an ethnic dimension between the Dinka and Nuer communities.",2014-01-10,Bentiu,9.231487,29.8005027,8888,Rubkona,True,True,True,True,1,yes,no,yes,Mentions rebel groups + US involved in South Sudan,Rubkona
"The article discusses the ongoing conflict in South Sudan, particularly the SPLA's attempts to retake Bentiu, the capital of Unity state, from rebel forces who defected from the military. The article also mentions the involvement of Sudan's rebel coalition, the Sudan Revolutionary Front, and their possible use of South Sudan as a base for their operations in Darfur, South Kordofan, and Blue Nile. The rebels have engaged in heavy clashes with the Justice and Equality Movement (JEM). The two warring parties are currently holding negotiations in Ethiopia, but no progress appears to have been made to end hostilities. The article also mentions the involvement of Uganda, which has sent troops to South Sudan at the behest of President Kiir, and Sudan's support for peaceful dialogue in the country as proposed by regional leaders from the Intergovernmental Authority on Development (IGAD).",2014-01-10,Bentiu,9.231487,29.8005027,8912,Rubkona,True,True,True,True,1,yes,no,yes,Mentions rebel groups,Rubkona
"The article discusses the evacuation of aid agencies and thousands of residents from Bentiu, the capital of South Sudan's oil-rich Unity state, due to fears of an imminent government offensive to recapture the town from rebels. The town was captured by rebels loyal to former vice president Riek Machar in December 2013, and clashes have spread across the country, leading to over 1,000 deaths and 230,000 displaced. Aid agencies are calling for a ceasefire to allow emergency aid to be delivered to the displaced.",2014-01-09,Bentiu,9.231487,29.8005027,8913,Rubkona,False,False,False,True,1,yes,no,yes,Mentions rebel groups,Rubkona
"The article discusses how Médecins Sans Frontières' facilities in Bentiu, South Sudan have been looted, endangering their ability to respond to the ongoing violence in the area. The charity's staff have relocated to Leer town due to the deteriorating security situation. The conflict, which began between members of the Presidential Guard on December 15, has spread to Jonglei, Unity, and Upper Nile states. Over 1,000 people are believed to have died, and around 200,000 people have been displaced by the conflict. The conflict is a political one between President Salva Kiir, a Dinka, and Riek Machar, a Nuer who he sacked in July last year along with many other senior figures.",2014-01-11,Bentiu,9.231487,29.8005027,8930,Rubkona,True,True,True,True,1,yes,no,no,Displacement,Rubkona
"The article discusses the failure of peace talks between President Salva Kiir and former vice president Riek Machar, which have been stalled in Addis Ababa due to disagreements about political prisoners. The rebel side is demanding the release of 11 political figures before signing a peace agreement, a demand rejected by the South Sudan government. Regional mediators have arrived in South Sudan to try and convince Machar to sign a truce. The violence in South Sudan has led to an estimated 1,500 deaths and forced about 200,000 to flee their homes.",2014-01-11,Bentiu,9.231487,29.8005027,8984,Rubkona,True,True,True,True,1,yes,no,yes,Mentions rebel groups,Rubkona
"The article discusses the takeover of Bentiu by government soldiers with help from Uganda and JEM, leading to rebel forces loyal to Riek Machar making a tactical withdrawal to avoid civilian casualties. The rebels assert that their decision to withdraw should not be interpreted as a defeat. The article also reveals Uganda's deep involvement in the conflict, which could further fuel the conflict. President Kiir accuses his political adversaries of an attempted coup, while senior members of the ruling SPLM party argue that Kiir lost politically and fabricated a coup to try to eliminate them.",2014-01-14,Bentiu,9.231487,29.8005027,8989,Rubkona,True,True,True,True,1,yes,no,yes,Mentions rebel groups,Rubkona
"The article discusses the ongoing conflict in South Sudan, with rebel forces loyal to the former Vice President claiming that government soldiers, with help from Uganda and Sudan's rebels, have taken over Bentiu. The rebels state that their withdrawal is a tactical move to prevent civilian casualties, and that the government does not have the ability to defeat them militarily. Uganda's military involvement in the conflict is also revealed, with the country suspected of fighting alongside President Kiir's forces. The conflict is fueled by accusations of an attempted coup by Kiir against his political adversaries.",2014-01-11,Bentiu,9.231487,29.8005027,8996,Rubkona,True,True,True,True,2,yes,no,yes,Mentions rebel groups,Rubkona
"The article discusses the UN Assistant Secretary General for Human Rights' assessment of the situation in South Sudan, describing it as a horrifying humanitarian and human rights disaster. The conflict has resulted in mass atrocities allegedly committed by both rebels and government forces, including mass killings, extrajudicial killings, arbitrary detentions, sexual violence, and the widespread destruction of property. Ivan Simonovic, the UN official, visited several locations, including Bentiu, Juba, Unity, Bor, and Gudele. Simonovic stressed the importance of accountability and the establishment of an independent and impartial fact-finding commission without delay. Violence erupted in mid-December last year, causing over 1,000 deaths and more than 400,000 displacements, according to UN figures.",2014-01-17,Bentiu,9.231487,29.8005027,9081,Rubkona,True,True,True,True,2,yes,no,yes,Mentions rebel groups + mass killing + politics,Rubkona
"The article discusses heavy fighting between armed groups, with attacks in South Sudan's Unity state spilling over to the neighbouring Warrap state. The armed group is believed to be loyal to former vice-president Riek Machar who has been accused of masterminding a coup attempt. The attacks involved the use of rocket-propelled grenades and machetes, leading to casualties and the dislodgment of hundreds of cattle. Health facilities are being targeted, and hundreds of families are missing, following the abduction of women and children. The state government has been accused of neglecting the area, with concerns raised about the security of vulnerable populations.  The South Sudan army (SPLA) claimed to have recaptured Unity state capital Bentiu, which has been in rebel hands since last month, halting oil production in the region. At least 1,000 people have been killed so far, with the peace talks in the Ethiopian capital, Addis Ababa, between the warring parties failing to make significant headway.",2014-01-17,Unity state,8.9277211,29.7889248,9096,Koch,False,False,False,True,1,yes,no,no,Government and Politics,Koch
"The article discusses the displacement of nearly 40,000 people in Unity state's Leer county, South Sudan due to the army's offensive to retake the state capital, Bentiu from rebel groups. The fighting started after clashes on December 15 between members of the Presidential Guard and supporters of former Vice President Riek Machar. Over half a million people have been displaced since the conflict began and as many as 10,000 people may have been killed. The International Rescue Committee (ICR) reports that 38,000 internally displaced people have arrived in Leer. The Médecins Sans Frontières/Doctors Without Borders (MSF) has relocated to Leer and is attempting to treat thousands of patients at Leer hospital. Delegations from both sides have been negotiating a ceasefire deal in the Ethiopian capital Addis Ababa since the beginning of January but so far the two sides have not signed a deal.",2014-01-22,Unity state,8.9277211,29.7889248,9180,Koch,True,True,True,True,1,yes,no,no,Mentions some rebels,Koch
"The article discusses the signing of a cessation of hostilities agreement in Addis Ababa by South Sudanese combatants, amidst new satellite images that confirm intentional destruction of civilian homes in several locations across Unity state. The images show widespread destruction of civilian residences, including almost 400 dwellings torched near Khor Bwow and several neighborhoods in Bentiu. The destruction appears to be a deliberate and systematic tactic, putting women, children, and families in great danger.",2014-01-24,Bentiu,9.231487,29.8005027,9210,Rubkona,True,True,True,True,1,yes,no,no,Potential agreements in the talks,Rubkona
"The article discusses the surrender of 200 rebels to the South Sudanese army in Unity state after losing control of the capital, Bentiu. The majority of the surrendered rebels were from the army's fourth division headed by Maj-Gen. James Koang Chuol. The military is pursuing other dissident commanders who are rebelling against the government. The army spokesperson stated that soldiers who deserted due to fear or unclear intentions would be accepted back into active service. The warring parties signed a ceasefire agreement to end six weeks of fighting resulting in over 1,000 deaths and half a million displaced people.",2014-01-27,Bentiu,9.231487,29.8005027,9338,Rubkona,False,False,False,True,1,yes,no,yes,Rebels surrendered ,Rubkona
"The article discusses how unrest in southern Unity state, South Sudan, has forced thousands to flee into the bush, including 240 South Sudanese MSF staff members and patients from Leer Hospital. The hospital was the only fully-functioning hospital in southern Unity State and is now empty. More than 860,000 people in South Sudan have been forced to flee their homes since December 2013. MSF is deeply concerned for the safety and well-being of its staff and patients. The number of civilians with emergency food needs in South Sudan has risen from one million to over three million. The warring sides in South Sudan have signed two agreements to cease fighting, but there are reports of continued fighting in various states. MSF has called for access to affected communities and for patients to receive medical treatment irrespective of their origin or ethnicity. MSF facilities in Upper Nile and Unity states have previously been looted. Medical facilities in Bor and Akobo have closed due to heavy fighting.",2014-01-31,Unity state,8.9277211,29.7889248,9354,Koch,True,True,True,True,1,yes,no,no,Food crisis worsens,Koch
"The article discusses the interception of a shipment of weapons and ammunition by South Sudanese officials in Rumbek, which was believed to have been bound for rebels in Bentiu, but was actually intended for the new Ghanaian contingent for peacekeeping purposes according to United Nations officials. The shipment contained containers that were wrongly labeled and inadvertently contained weapons and ammunition, violating a U.N. rule that arms should be transported by air only in the country for security reasons. A joint U.N.-South Sudan investigation into the shipment was due to begin Thursday.",2014-03-13,Bentiu,9.231487,29.8005027,9967,Rubkona,True,True,True,True,1,yes,no,yes,Mentions rebels and peacekeepers,Rubkona
"The article discusses the recent clash between South Sudan's army and the rebels, which occurred in several locations in Unity state including Torabith, Mayom County, Bentiu, Abiemnom, as well as near the oil refinery which is being constructed by the government of South Sudan. Both sides accuse each other of violating the cessation of hostilities agreement, and the South Sudan government pledges to continue pursuing the rebels.",2014-04-14,Unity state,8.9277211,29.7889248,10339,Koch,False,False,False,True,1,yes,no,yes,Mentions rebels and clashes,Koch
"The article discusses warnings from South Sudanese religious leaders of a looming humanitarian disaster in Unity state and Upper Nile states due to clashes between rival forces, despite the ceasefire agreement signed in January. The clerics called on the warring parties to respect the terms of the agreement, and for the international community to provide assistance to displaced persons. The situation may worsen if not given immediate attention. Heavy gunfire between government and rebel forces has been reported in Bentiu town and surrounding areas.",2014-04-14,Unity state,8.9277211,29.7889248,10341,Koch,True,True,True,True,1,yes,no,yes,Mentions rebels and clashes,Koch
"The article discusses the admission by a South Sudanese government official that rebel forces have taken control of the strategic oil-rich capital of Unity state, Bentiu. The government army allegedly withdrew without notifying his forces, with some military sources claiming a commanding officer withdrew from Rubkona without their knowledge, allowing the rebels to penetrate parts of the town without resistance. It is still unclear whether the commanding officer stayed to fight on the government side. The government forces are still reportedly fighting in the town despite some officials confirming its recapture. The article also mentions the closure of supply routes from neighboring countries and the recapture of several rebel-held areas and border towns by the government forces in recent months.",2014-04-15,Bentiu,9.231487,29.8005027,10361,Rubkona,False,False,False,True,2,yes,no,yes,Rebels invade oil territory,Rubkona
"The article discusses the ongoing fighting for control of Bentiu, the capital of Unity state in South Sudan, between army and opposition forces. The opposition has taken control of the town and demanded that oil production companies halt operations in the country's two oil-producing states, Unity and Upper Nile. Five foreign oil workers were injured in the fighting and UN peacekeepers evacuated 10 foreign oil workers caught up in attacks on an oil refinery outside Bentiu. The United Nations, the United States, and other members of the international community have criticized both sides for failing to observe a cessation of hostilities agreement reached in late January. Peace talks are on a three-week recess and are due to resume next week.",2014-04-15,Bentiu,9.231487,29.8005027,10369,Rubkona,True,True,True,True,1,yes,no,no,UN peacemakers in action,Rubkona
"The article discusses the possibility of Kenya troops being permitted to go to South Sudan as peacekeepers amid ongoing fighting in the key oil town of Bentiu, where rebels are 'liberating' the oil fields and advising oil companies to evacuate their staff. Civil war erupted in December 2013, thousands have been killed, millions displaced, and regional bloc Igad has been attempting to broker a settlement between President Salva Kiir and Vice-President Riek Machar. However, both sides have been rearming and the deployment of Kenyan soldiers should not happen before a genuine peace agreement is reached, to avoid getting sucked into a bloody war.",2014-04-16,Bentiu,9.231487,29.8005027,10381,Rubkona,True,True,True,True,1,yes,no,no,Many deaths and peacekeepers got involved,Rubkona
"The article discusses how rebel fighters in South Sudan have re-taken control of Bentiu, the capital of oil-producing Unity State. Opposition is attempting to shut down all oil production in South Sudan because it does not want the government to use revenues from oil sales to buy weapons. Army spokesman confirmed fighting in Bentiu. Peace talks in Addis Ababa have made little progress.",2014-04-15,Bentiu,9.231487,29.8005027,10391,Rubkona,True,True,True,True,2,yes,no,yes,Rebels and oil,Rubkona
"The article discusses recent violent attacks on civilians and UN base camps in the strategic towns of Bentiu and Bor in South Sudan. Rebel forces aligned with former vice-president Riek Machar captured Unity state capital Bentiu. Armed youth demonstrators stormed the UN base camp in the Jonglei state capital Bor, killing at least 30 people and injuring two UNMISS peacekeepers. The attack on the UN base camp is considered a serious escalation and a war crime by the UN secretary-general. Toby Lanzer, the UN's humanitarian coordinator in South Sudan, warns that South Sudan is facing a bleak future if the current cycle of violence continues and calls for an immediate ceasefire and meaningful negotiations to find a political solution. ",2014-04-17,Bentiu,9.231487,29.8005027,10400,Rubkona,True,True,True,True,2,yes,no,yes,"many killings, ongoing violence",Rubkona
"The article discusses the South Sudanese army preparing to launch a major offensive to retake Bentiu, the capital of Unity state, which has been seized by rebel fighters. The rebels are believed to have received help from foreign mercenaries, including Janjaweed militias from Sudan. The South Sudanese government has accused the government of Sudan of assisting the rebels. The rebel Sudan Liberation Movement/Army in Opposition has called on oil companies operating in government-controlled areas to cease oil production and evacuate all staff within a week. Unity state has changed hands several times since the political tensions in Juba caused violence in mid-December.",2014-04-16,Bentiu,9.231487,29.8005027,10407,Rubkona,False,False,False,True,2,yes,no,yes,Liberation movement and oil ,Rubkona
"The article discusses the conflict in South Sudan between government and rebel forces, with rebels loyal to former vice president Riek Machar claiming to have seized the capital of Unity state, Bentiu, and ordering oil firms operating there to leave within a week. The conflict has disrupted oil production, which is the main resource of South Sudan, intensifying the power struggle within the government. The rebels' seizure of oilfields puts pressure on the government and the worst case scenario is a return to civil war without oil resources. The situation is currently uncertain, with both sides showing reservations about negotiation and preferring a military solution.",2014-04-16,Bentiu,9.231487,29.8005027,10413,Rubkona,False,False,False,True,2,yes,no,yes,Rebels (and vicepresident) claim Unity State,Rubkona
"The article discusses the increasing number of civilians seeking refuge with the UN peacekeeping mission in South Sudan's oil-rich Unity state due to spiraling violence. More than 12,000 civilians, mostly women and children, are seeking shelter at the UNMISS protection of civilians site in Bentiu. The article also reports the control of Guit and Rubkona Counties by anti-Government forces, and looting of shops by civilians in the state capital. Additionally, the article notes that an average of 75,000 civilians have found refuge from violence in UN bases across the country since hostilities erupted last December, with about a million people in South Sudan being forced from their homes due to the conflict.",2014-04-16,Bentiu,9.231487,29.8005027,10415,Rubkona,True,True,True,True,1,yes,no,yes,anti_government,Rubkona
"The article discusses the recent victories of South Sudanese rebels, led by former vice president Riek Machar, against government troops in various locations across Unity state including Bentiu, Leer county, Mirmir, and Tharjiath oilfields. The rebels are retaking control of the region and forcing government forces to retreat towards the Bahr el Ghazal region. The article also mentions the potential for further conflict and deployment of troops by the government and neighboring countries.",2014-04-19,Bentiu,9.231487,29.8005027,10427,Rubkona,False,False,False,True,2,yes,no,yes,rebels keyword not recognized,Rubkona
"The article discusses a recent attack by South Sudanese rebels against the South Sudan army in Unity state's capital, Bentiu, resulting in the deaths of 510 soldiers including one of their top generals. The rebels have also reportedly taken control of the Unity oilfields and are pursuing senior army officers. The article also mentions the withdrawal of SPLA forces from Leer County and the rebels' plans to control the whole of Upper Nile region during the coming rainy season, with the intention of taking the fight to Juba or to Greater Bahr el Ghazal region, home to the president.",2014-04-16,Unity state,8.9277211,29.7889248,10430,Koch,False,False,False,True,2,yes,no,yes,article stated in Koch,Koch
The article discusses the capture of the Unity state capital Bentiu town by rebels in South Sudan. The government is divided and military officers blame officials at the ministry of finance and individuals close to the president for the failure to deliver military supplies. This has led to the soldiers being let down and the rebels receiving support from foreign mercenaries which allowed them to recapture the town. There are accusations of negligence by government agencies and calls for an investigation by the president.,2014-04-16,Bentiu,9.231487,29.8005027,10431,Rubkona,False,False,False,True,1,yes,no,yes,captury of Bentiu by rebels,Rubkona
"The article discusses the South Sudanese military's efforts to scale up operations against rebels seeking to take control of the state's oil fields. The rebels have been launching sustained attacks in Unity and Upper Nile states and have explicitly stated their aim of hampering oil production. The South Sudanese military claims to have repulsed these attacks, but there are reports of damage to a refinery in Tharjath and injuries to three Russian oil workers. The conflict has disrupted oil production, which is a major source of government revenue.",2014-04-19,Bentiu,9.231487,29.8005027,10438,Rubkona,False,False,False,True,1,yes,no,yes,increase military efforts against rebels attacks,Rubkona
"The article discusses the Chinese Foreign Ministry's response to the conflict in Bentiu, an oil hub and capital of Unity State in South Sudan, stating that they have not received any reports of Chinese companies being affected and calling for both sides to implement the earlier signed cease-fire agreement and resolve differences through peaceful dialogue.",2014-04-17,Bentiu,9.231487,29.8005027,10450,Rubkona,False,False,False,True,1,yes,no,yes,chinese comapnies not affected by conflict in Bentiu,Rubkona
"The article discusses South Sudan's government accusing 'enemies of peace' and regional stability of sabotaging improving relations with the government of neigbouring Sudan. The South Sudanese army accuses rebels led by former vice-president Riek Machar of being trained at camps inside Sudan. The Sudan Armed Forces (SAF) denies these claims. South Sudan's foreign affairs and international cooperation minister, Barnaba Marial Benjamin, stresses that war between the two countries would destabilise the entire region. The article also highlights that South Sudan accuses Sudan of attacking their oil-rich border regions and that rebels are in full control of Bentiu.",2014-04-19,Bentiu,9.231487,29.8005027,10462,Rubkona,True,True,True,True,2,yes,no,yes,war would destabilise the entire region,Rubkona
"The article discusses the capture of Bentiu town in Unity State of South Sudan by rebel forces, resulting in forced disappearances and mass killings of civilians. Several sources report incidents of killings at a mosque, churches, and hospital, with an estimated death toll ranging from hundreds to more than 370 people. Darfurian traders were among the victims, and there are reports of survivors being forcibly removed from hospitals by the parties to the conflict. UNMISS is protecting over 12,000 civilians in their base, and aid organizations are deeply concerned about the situation. ",2014-04-17,Bentiu,9.231487,29.8005027,10467,Rubkona,True,True,True,True,2,yes,no,yes,mentions death toll from capture of Bentiu,Rubkona
"The article discusses the United Nations Mission in South Sudan accusing opposition forces in Bentiu, South Sudan of carrying out targeted killings, including of children, and committing ""vengeful sexual violence"" against women after they captured the town last week from government troops. Several Nuer men, women and children who were hiding at Bentiu hospital during the fighting were killed because they failed to join other Nuers who had gone out to cheer as the opposition forces entered the town. Members of other South Sudanese communities and Darfuris were also targeted and killed at the hospital. People were also singled out and killed for their ethnicity and nationality at a mosque, a Roman Catholic church and the World Food Program compound in Bentiu. UNMISS also said individuals associated with the opposition have been using an FM station in Bentiu to broadcast hate speech. Following the fighting, the number of civilians seeking protection in UNMISS base in Bentiu swelled from around 7,000 to more than 12,000.",2014-04-21,Bentiu,9.231487,29.8005027,10470,Rubkona,True,True,True,True,2,yes,no,no,Nuer people killed as opposition forces entered town and people killed bc of their ethnicity,Rubkona
